stimuli,sound
ba,b
be,b
bi,b
bo,b
bu,b
ba,b
be,b
bi,b
fa,f
fe,f
fi,f
fo,f
fu,f
fa,f
fe,f
fi,f
fo,f
fu,f
ma,m
me,m
mi,m
mo,m
mu,m
ma,m
me,m
mi,m
mo,m
mu,m
na,n
ne,n
ni,n
no,n
nu,n
na,n
ne,n
ni,n
no,n
nu,n
pa,p
pe,p
pi,p
po,p
pu,p
pa,p
pe,p
pi,p
po,p
pu,p
sa,s
se,s
si,s
so,s
sa,s
se,s
si,s
so,s
su,s
su,s
bo,b
bu,b
xx,x
xx,x
xx,x
xx,x
xx,x
xx,x
xx,x
xx,x
xx,x
xx,x
